Trans Hist Date,week_day,1 PM,10 AM,11 AM,12 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 AM
2022-04-09,Saturday,9.666666666666666,8.857142857142858,11.5,10.875,13.571428571428571,13.166666666666666,12.333333333333334,15.0,,,,7.666666666666667
2022-04-10,Sunday,23.333333333333332,,11.75,11.4,16.0,16.5,11.285714285714286,19.0,,,,
2022-04-11,Monday,10.555555555555555,10.166666666666666,12.833333333333334,12.857142857142858,11.0,15.11111111111111,15.142857142857142,11.428571428571429,11.0,10.4,9.0,10.5
2022-04-12,Tuesday,10.75,12.2,12.285714285714286,10.375,14.142857142857142,12.0,14.666666666666666,9.88888888888889,10.666666666666666,10.25,7.0,14.25
2022-04-13,Wednesday,13.375,12.0,13.333333333333334,10.625,12.0,10.444444444444445,12.444444444444445,12.142857142857142,10.4,9.6,7.5,16.0
2022-04-14,Thursday,15.833333333333334,10.875,12.285714285714286,10.375,12.5,16.0,14.666666666666666,10.285714285714286,10.0,8.0,10.0,13.6
2022-04-15,Friday,11.0,10.0,11.333333333333334,13.375,14.142857142857142,12.25,11.444444444444445,15.0,13.0,25.0,9.0,11.666666666666666
2022-04-16,Saturday,15.2,12.333333333333334,13.666666666666666,14.666666666666666,13.875,12.142857142857142,16.0,28.0,,,,11.4
2022-04-18,Monday,13.857142857142858,14.5,10.0,13.0,15.625,14.857142857142858,15.75,13.625,8.428571428571429,7.4,10.5,11.5
2022-04-19,Tuesday,16.666666666666668,12.714285714285714,12.0,9.11111111111111,15.5,12.0,11.571428571428571,11.125,10.833333333333334,6.5,8.5,11.75
2022-04-20,Wednesday,12.0,10.125,14.0,11.75,13.125,12.0,12.25,12.5,6.875,10.25,3.5,11.75
2022-04-21,Thursday,10.6,14.125,12.0,12.571428571428571,14.0,9.625,11.25,12.4,11.0,10.0,7.0,10.666666666666666
2022-04-22,Friday,11.285714285714286,9.5,9.5,13.142857142857142,13.714285714285714,13.0,10.714285714285714,16.0,25.0,21.0,4.0,8.2
2022-04-23,Saturday,11.555555555555555,10.285714285714286,10.2,13.875,13.857142857142858,13.142857142857142,8.833333333333334,19.0,,,,13.0
2022-04-24,Sunday,15.833333333333334,,14.75,9.333333333333334,16.4,16.25,12.0,19.0,,,,
2022-04-25,Monday,11.142857142857142,12.333333333333334,14.8,11.166666666666666,14.428571428571429,12.142857142857142,13.0,11.444444444444445,12.25,6.75,10.0,15.333333333333334
2022-04-26,Tuesday,11.571428571428571,9.166666666666666,13.5,10.222222222222221,11.0,14.25,13.555555555555555,10.375,10.142857142857142,7.8,3.0,12.75
2022-04-27,Wednesday,10.142857142857142,12.428571428571429,12.25,11.25,12.75,10.0,11.88888888888889,11.428571428571429,10.166666666666666,8.166666666666666,5.5,13.0
2022-04-28,Thursday,11.777777777777779,11.5,11.285714285714286,10.375,12.333333333333334,12.875,11.875,9.571428571428571,9.6,8.0,10.0,11.2
2022-04-29,Friday,11.222222222222221,9.833333333333334,10.0,11.25,12.444444444444445,13.0,11.5,15.0,25.0,15.0,18.0,12.2
2022-04-30,Saturday,11.666666666666666,10.0,10.625,11.25,13.0,12.166666666666666,10.166666666666666,16.0,,,,7.666666666666667
2022-05-01,Sunday,18.6,,13.25,9.5,11.666666666666666,18.333333333333332,10.142857142857142,15.0,,,,
2022-05-02,Monday,11.666666666666666,10.571428571428571,12.0,11.833333333333334,10.714285714285714,13.625,13.11111111111111,9.9,13.333333333333334,5.0,4.0,12.0
2022-05-03,Tuesday,11.11111111111111,11.166666666666666,11.142857142857142,11.714285714285714,12.833333333333334,14.125,11.666666666666666,13.142857142857142,12.0,8.0,6.5,10.6
2022-05-04,Wednesday,14.875,12.833333333333334,10.666666666666666,16.166666666666668,13.285714285714286,14.857142857142858,12.25,9.75,11.0,10.5,6.0,
2022-05-05,Thursday,12.0,11.5,10.222222222222221,11.25,9.4,10.2,12.5,11.666666666666666,7.833333333333333,7.75,20.0,15.0
2022-05-06,Friday,10.6,9.857142857142858,9.571428571428571,11.142857142857142,10.285714285714286,13.166666666666666,12.0,12.0,14.0,15.0,8.0,16.333333333333332
2022-05-07,Saturday,12.142857142857142,10.875,11.571428571428571,9.625,10.428571428571429,11.285714285714286,9.0,13.0,,,,11.75
2022-05-08,Sunday,11.833333333333334,,11.0,11.5,13.0,12.166666666666666,12.25,16.0,,,,
2022-05-09,Monday,10.5,12.5,9.375,10.25,11.428571428571429,16.75,11.777777777777779,11.833333333333334,13.4,7.4,10.5,12.0
2022-05-10,Tuesday,14.0,10.0,12.0,11.142857142857142,13.0,11.125,11.88888888888889,9.571428571428571,10.5,7.6,6.5,11.6
2022-05-11,Wednesday,12.8,15.0,11.125,10.857142857142858,12.25,11.444444444444445,12.11111111111111,10.571428571428571,11.8,5.0,8.5,13.0
2022-05-12,Thursday,19.75,13.6,12.714285714285714,12.0,17.0,12.11111111111111,10.285714285714286,9.0,7.714285714285714,7.0,9.0,12.4
2022-05-13,Friday,11.0,11.571428571428571,10.714285714285714,11.625,14.833333333333334,11.666666666666666,10.875,13.0,25.0,11.0,12.0,9.0
2022-05-14,Saturday,13.857142857142858,11.8,9.714285714285714,13.166666666666666,12.375,9.625,10.333333333333334,10.0,,,,9.0
